Number of planted biclusters: 3
Bicluster coverage: 20.0%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


Bicluster #0 (20, 20)
Rows=[4,6,10,15,26,28,31,33,39,43,46,51,52,59,62,67,78,86,87,91], Columns=[0,2,4,8,10,12,18,23,25,26,33,34,36,37,39,46,48,53,54,59], RowPattern=Constant, ColumnPattern=None, %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=No Overlapping

X	y0	y2	y4	y8	y10	y12	y18	y23	y25	y26	y33	y34	y36	y37	y39	y46	y48	y53	y54	y59
x4	-1.75	-0.89	9.69	-8.67	7.86	-2.2	-7.95	-1.61	1.52	8.87	3.76	-7.37	-5.85	8.92	9.39	-9.16	-0.44	9.48	2.45	9.44
x6	-1.75	-0.89	9.69	-8.67	7.86	-2.2	-7.95	-1.61	1.52	8.87	3.76	-7.37	-5.85	8.92	9.39	-9.16	-0.44	9.48	2.45	9.44
x10	-1.75	-0.89	9.69	-8.67	7.86	-2.2	-7.95	-1.61	1.52	8.87	3.76	-7.37	-5.85	8.92	9.39	-9.16	-0.44	9.48	2.45	9.44
x15	-1.75	-0.89	9.69	-8.67	7.86	-2.2	-7.95	-1.61	1.52	8.87	3.76	-7.37	-5.85	8.92	9.39	-9.16	-0.44	9.48	2.45	9.44
x26	-1.75	-0.89	9.69	-8.67	7.86	-2.2	-7.95	-1.61	1.52	8.87	3.76	-7.37	-5.85	8.92	9.39	-9.16	-0.44	9.48	2.45	9.44
x28	-1.75	-0.89	9.69	-8.67	7.86	-2.2	-7.95	-1.61	1.52	8.87	3.76	-7.37	-5.85	8.92	9.39	-9.16	-0.44	9.48	2.45	9.44
x31	-1.75	-0.89	9.69	-8.67	7.86	-2.2	-7.95	-1.61	1.52	8.87	3.76	-7.37	-5.85	8.92	9.39	-9.16	-0.44	9.48	2.45	9.44
x33	-1.75	-0.89	9.69	-8.67	7.86	-2.2	-7.95	-1.61	1.52	8.87	3.76	-7.37	-5.85	8.92	9.39	-9.16	-0.44	9.48	2.45	9.44
x39	-1.75	-0.89	9.69	-8.67	7.86	-2.2	-7.95	-1.61	1.52	8.87	3.76	-7.37	-5.85	8.92	9.39	-9.16	-0.44	9.48	2.45	9.44
x43	-1.75	-0.89	9.69	-8.67	7.86	-2.2	-7.95	-1.61	1.52	8.87	3.76	-7.37	-5.85	8.92	9.39	-9.16	-0.44	9.48	2.45	9.44
x46	-1.75	-0.89	9.69	-8.67	7.86	-2.2	-7.95	-1.61	1.52	8.87	3.76	-7.37	-5.85	8.92	9.39	-9.16	-0.44	9.48	2.45	9.44
x51	-1.75	-0.89	9.69	-8.67	7.86	-2.2	-7.95	-1.61	1.52	8.87	3.76	-7.37	-5.85	8.92	9.39	-9.16	-0.44	9.48	2.45	9.44
x52	-1.75	-0.89	9.69	-8.67	7.86	-2.2	-7.95	-1.61	1.52	8.87	3.76	-7.37	-5.85	8.92	9.39	-9.16	-0.44	9.48	2.45	9.44
x59	-1.75	-0.89	9.69	-8.67	7.86	-2.2	-7.95	-1.61	1.52	8.87	3.76	-7.37	-5.85	8.92	9.39	-9.16	-0.44	9.48	2.45	9.44
x62	-1.75	-0.89	9.69	-8.67	7.86	-2.2	-7.95	-1.61	1.52	8.87	3.76	-7.37	-5.85	8.92	9.39	-9.16	-0.44	9.48	2.45	9.44
x67	-1.75	-0.89	9.69	-8.67	7.86	-2.2	-7.95	-1.61	1.52	8.87	3.76	-7.37	-5.85	8.92	9.39	-9.16	-0.44	9.48	2.45	9.44
