X	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18	y19	y20	y21	y22	y23	y24	y25	y26	y27	y28	y29	y30	y31	y32	y33	y34	y35	y36	y37	y38	y39	y40	y41	y42	y43	y44	y45	y46	y47	y48	y49	y50	y51	y52	y53	y54	y55	y56	y57	y58	y59
x0	4.87	5.94	-2.62	2.79	-2.75	-5.82	3.01	-6.18	-1.86	-3.37	9.79	-3.06	1.38	-4.49	2.97	-1.48	6.89	-6.32	3.31	-5.47	-4.17	9.95	-8.3	-6.14	3.29	5.93	7.99	9.48	-4.66	2.29	4.92	1.31	-9.67	-6.22	5.42	-0.54	3.82	5.86	-8.24	-8.49	-9.98	2.7	8.47	-1.61	-8.78	4.71	7.2	-5.94	6.19	-3.94	-0.21	7.87	6.96	2.66	-3.55	-6.05	-0.78	-5.76	-9.47	-8.23
x1	5.06	5.93	-6.14	-6.61	-1.98	1.85	-4.53	-6.66	6.95	-9.75	5.49	3.49	5.54	-4.44	-9.06	0.31	-4.88	-5.89	5.21	-5.36	-4.7	-4.97	-5.81	-8.16	-1.17	9.42	5.63	-7.33	-4.59	3.08	1.42	3.31	8.76	-4.52	4.1	4.81	-0.46	8.17	-1.93	-3.51	2.29	-0.21	-6.23	-4.08	9.12	-8.83	8.76	8.78	4.84	4.47	3.48	-4.13	-1.06	-6.99	-8.55	1.96	8.04	4.84	3.74	-9.01
x2	-0.57	2.24	5.8	-4.14	-9.19	-7.99	1.07	-2.51	-5.62	6.71	-9.7	-2.79	-5.47	-4.08	7.94	-0.3	-2.6	-1.63	8.05	-0.78	7.99	-9.47	0.53	1.03	-4.22	5.58	5.92	-7.83	3.5	7.84	1.76	0.58	-4.78	-8.25	-3.09	-9.48	9.85	-7.6	-8.4	-6.77	3.88	4.76	0.29	6.72	-6.61	-7.2	-7.87	-3.84	-0.59	6.1	-0.41	7.36	3.08	-8	-0.48	9.66	7.34	-6.09	2.95	-8.11
x3	0.62	2.95	0.19	5.1	4.41	-0.84	-4.35	-0.68	1.62	1.24	-6.49	-2.01	5.33	-1.06	-0.31	-6.63	-1.17	-8.58	8.13	9.03	-3.45	-3.83	0.11	1.35	3.52	8.58	4.43	0.96	5.43	-0.25	2.75	7.25	5.91	1.87	0.13	4.22	-1.54	4.35	-6.65	4.41	0.76	-8.39	1.54	9.18	6.94	-6.03	-7.31	-1.93	9.06	-3.43	7.49	7.95	3.77	-1.59	7.49	-6.62	-8.08	-6.86	-1.55	-6.38
x4	-1.75	-0.38	-0.89	-3.25	9.69	1.94	9.05	-2.41	-8.67	-7.02	7.86	7.87	-2.2	9.7	-7.66	7.09	-0.48	2.21	-7.95	7.7	-9.23	-1.81	7.94	-1.61	7.76	1.52	8.87	6.54	9.95	-5.3	-6.32	-1.17	8.68	3.76	-7.37	-2.95	-5.85	8.92	-4.26	9.39	-9.29	1.03	-3.63	-0.58	-9.99	7.39	-9.16	-9.44	-0.44	9.68	6.86	0.02	5.6	9.48	2.45	-8.9	-4.23	4.57	6.41	9.44
x5	3.24	5.94	-0.31	2.79	-5.42	-7.44	3.01	-6.18	0.37	-9.11	9.64	-3.56	2.63	-4.49	2.97	-5.84	6.89	7.7	-4.49	-8.32	1.49	9.95	-8.3	-0.83	8.44	-1.91	4.17	6.72	-4.66	2.29	5.64	1.31	-9.67	-10	-1.87	8	8.75	3.02	-8.24	1.62	-9.09	0.69	8.47	-1.61	9.76	0.37	0.84	-5.94	-1.67	-5.74	4.57	7.64	-7.1	-8.9	4.76	-6.05	-0.78	-5.76	6.58	0.15
x6	-1.75	-7.88	-0.89	9.01	9.69	-8.34	1.54	-5.48	-8.67	-7.39	7.86	2.62	-2.2	0.75	3.55	-6.82	7.48	5.53	-7.95	9.79	-0.68	1.38	-6.02	-1.61	-2.9	1.52	8.87	8.56	-0.58	-3.54	0.22	-8.04	-3.62	3.76	-7.37	-0.36	-5.85	8.92	3.08	9.39	-3.17	-0.74	-2.59	8.41	6.54	-9.87	-9.16	-4.88	-0.44	-2.53	-3.19	6.11	-1.98	9.48	2.45	-5.75	1.89	-9.03	2.71	9.44
x7	-6.83	5.94	-9.51	2.79	-1.56	-5.16	3.01	-6.18	1.11	4.83	1.38	5.11	-8.49	-4.49	2.97	3.18	6.89	5.73	-8.63	1.59	0.5	9.95	-8.3	0.65	-6.95	6.93	2.52	5.96	-4.66	2.29	-7.68	1.31	-9.67	2.78	1.34	9.61	-6.86	0.29	-8.24	4.65	-6.59	5.39	8.47	-1.61	-2.76	1.28	-9.27	-5.94	-4.34	0.52	3.5	7.98	-9.59	-8.07	9.16	-6.05	-0.78	-5.76	5.32	1.19
x8	3.82	5.94	-2.54	2.79	2.67	0.28	3.01	-6.18	0.56	0.59	7.85	-5.22	-3.52	-4.49	2.97	2.72	6.89	1.58	1.61	2.52	7.36	9.95	-8.3	7.13	-5.22	3.17	6.93	7.92	-4.66	2.29	-3.45	1.31	-9.67	-2.53	1.99	-2.9	2.92	8.66	-8.24	-5.86	2.45	-0.79	8.47	-1.61	4.96	-1.83	9.04	-5.94	9.39	3.66	-3.44	3.8	-5.27	8.79	9.65	-6.05	-0.78	-5.76	5.21	-8.31
x9	-1.45	-0.86	-0.67	-3.09	-7.14	-1.4	-1.19	8	-6.34	-4.67	-4.56	-7.37	1.07	-9.52	8.95	5.91	7.05	0.76	4.56	5.99	-5.4	-5.58	0.27	-8.58	5.92	-3.62	-8.87	0	5.08	-6.7	2.08	9.01	-7.47	-2.23	3.82	-1.27	7.32	-7.28	6.67	7.9	0.75	-7.75	6.23	-2.16	-0.05	2.86	-8.21	-4.98	4.19	-9.58	3.38	-3.7	7.54	-7.4	-3.32	0.04	2.01	3.73	6.22	7.36
