Total of planted biclusters: 3
Number of planted numeric biclusters: 1
Number of planted symbolic biclusters: 1
Number of planted mixed biclusters: 1
Bicluster coverage: 20.0%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


*** Numeric Biclusters *** 

Bicluster #1 (20, 20)
Rows=[2,7,8,13,21,26,28,31,33,41,47,49,51,52,63,68,72,73,76,83], Columns=[0,1,3,4,5,7,8,13,14,16,17,18,21,22,23,24,25,26,27,28], RowPattern=Constant, ColumnPattern=None, %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=No Overlapping

X	y0	y1	y3	y4	y5	y7	y8	y13	y14	y16	y17	y18	y21	y22	y23	y24	y25	y26	y27	y28
x2	5.36	6.04	1.74	3.02	6.43	8.47	-3.09	-3	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31
x7	5.36	6.04	1.74	3.02	6.43	8.47	-3.09	-3	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31
x8	5.36	6.04	1.74	3.02	6.43	8.47	-3.09	-3	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31
x13	5.36	6.04	1.74	3.02	6.43	8.47	-3.09	-3	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31
x21	5.36	6.04	1.74	3.02	6.43	8.47	-3.09	-3	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31
x26	5.36	6.04	1.74	3.02	6.43	8.47	-3.09	-3	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31
x28	5.36	6.04	1.74	3.02	6.43	8.47	-3.09	-3	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31
x31	5.36	6.04	1.74	3.02	6.43	8.47	-3.09	-3	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31
x33	5.36	6.04	1.74	3.02	6.43	8.47	-3.09	-3	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31
x41	5.36	6.04	1.74	3.02	6.43	8.47	-3.09	-3	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31
x47	5.36	6.04	1.74	3.02	6.43	8.47	-3.09	-3	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31
x49	5.36	6.04	1.74	3.02	6.43	8.47	-3.09	-3	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31
x51	5.36	6.04	1.74	3.02	6.43	8.47	-3.09	-3	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31
