Number of planted biclusters: 3
Bicluster coverage: 20.0%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


Bicluster #0 (20, 20)
Rows=[4,6,10,15,26,28,31,33,39,43,46,51,52,59,62,67,78,86,87,91], Columns=[0,2,4,8,10,12,18,23,25,26,33,34,36,37,39,46,48,53,54,59], RowPattern=Constant, ColumnPattern=None, %Missings=0, %Noise=0, %Errors=0 PlaidCoherency=No Overlapping

X	y0	y2	y4	y8	y10	y12	y18	y23	y25	y26	y33	y34	y36	y37	y39	y46	y48	y53	y54	y59
x4	aa	aa	dd	cc	bb	cc	ee	aa	ee	dd	aa	cc	dd	aa	dd	ee	aa	ee	ee	cc
x6	aa	aa	dd	cc	bb	cc	ee	aa	ee	dd	aa	cc	dd	aa	dd	ee	aa	ee	ee	cc
x10	aa	aa	dd	cc	bb	cc	ee	aa	ee	dd	aa	cc	dd	aa	dd	ee	aa	ee	ee	cc
x15	aa	aa	dd	cc	bb	cc	ee	aa	ee	dd	aa	cc	dd	aa	dd	ee	aa	ee	ee	cc
x26	aa	aa	dd	cc	bb	cc	ee	aa	ee	dd	aa	cc	dd	aa	dd	ee	aa	ee	ee	cc
x28	aa	aa	dd	cc	bb	cc	ee	aa	ee	dd	aa	cc	dd	aa	dd	ee	aa	ee	ee	cc
x31	aa	aa	dd	cc	bb	cc	ee	aa	ee	dd	aa	cc	dd	aa	dd	ee	aa	ee	ee	cc
x33	aa	aa	dd	cc	bb	cc	ee	aa	ee	dd	aa	cc	dd	aa	dd	ee	aa	ee	ee	cc
x39	aa	aa	dd	cc	bb	cc	ee	aa	ee	dd	aa	cc	dd	aa	dd	ee	aa	ee	ee	cc
x43	aa	aa	dd	cc	bb	cc	ee	aa	ee	dd	aa	cc	dd	aa	dd	ee	aa	ee	ee	cc
x46	aa	aa	dd	cc	bb	cc	ee	aa	ee	dd	aa	cc	dd	aa	dd	ee	aa	ee	ee	cc
