X	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18	y19	y20	y21	y22	y23	y24	y25	y26	y27	y28	y29	y30	y31	y32	y33	y34	y35	y36	y37	y38	y39	y40	y41	y42	y43	y44	y45	y46	y47	y48	y49	y50	y51	y52	y53	y54	y55	y56	y57	y58	y59
x0	bb	ee	bb	cc	dd	dd	cc	dd	aa	ee	bb	dd	cc	dd	bb	cc	aa	cc	dd	ee	dd	aa	aa	aa	dd	cc	cc	ee	aa	dd	aa	dd	cc	aa	ee	aa	dd	bb	aa	bb	cc	cc	aa	aa	aa	dd	ee	aa	bb	ee	bb	ee	dd	dd	ee	aa	aa	aa	aa	aa
x1	dd	bb	dd	cc	aa	bb	bb	bb	ee	ee	bb	ee	ee	cc	cc	dd	ee	dd	aa	cc	aa	dd	dd	aa	bb	cc	aa	aa	cc	ee	bb	cc	aa	bb	dd	aa	dd	dd	aa	bb	cc	aa	aa	dd	dd	dd	aa	dd	aa	ee	bb	bb	cc	dd	cc	bb	ee	aa	cc	dd
x2	aa	ee	aa	cc	bb	dd	cc	dd	ee	ee	ee	dd	dd	dd	bb	cc	aa	cc	cc	ee	dd	aa	aa	bb	dd	bb	cc	ee	aa	dd	aa	dd	cc	dd	aa	aa	aa	ee	aa	bb	cc	cc	aa	aa	aa	dd	bb	aa	ee	ee	bb	ee	dd	aa	cc	aa	aa	aa	aa	dd
x3	cc	cc	aa	bb	aa	ee	aa	cc	ee	dd	cc	aa	dd	cc	ee	dd	dd	ee	aa	cc	bb	cc	bb	dd	ee	cc	ee	bb	dd	bb	ee	cc	bb	dd	bb	bb	ee	ee	aa	aa	bb	dd	dd	cc	dd	aa	bb	aa	ee	cc	dd	aa	cc	cc	aa	aa	aa	dd	ee	cc
x4	aa	cc	aa	ee	dd	bb	ee	ee	cc	aa	bb	aa	cc	ee	bb	bb	dd	ee	ee	dd	ee	dd	dd	aa	cc	ee	dd	aa	dd	ee	ee	bb	aa	aa	cc	bb	dd	aa	bb	dd	dd	aa	cc	cc	cc	ee	ee	aa	aa	dd	cc	ee	dd	ee	ee	ee	aa	aa	ee	cc
x5	dd	cc	cc	cc	aa	dd	cc	ee	cc	cc	aa	aa	ee	dd	dd	bb	aa	dd	dd	aa	cc	ee	bb	ee	cc	aa	aa	bb	cc	ee	dd	bb	ee	dd	bb	bb	ee	bb	dd	bb	cc	cc	bb	dd	dd	cc	dd	dd	cc	aa	cc	dd	dd	ee	ee	ee	dd	cc	dd	bb
x6	aa	bb	aa	bb	dd	aa	bb	dd	cc	aa	bb	ee	cc	bb	dd	dd	ee	bb	ee	cc	ee	dd	aa	aa	aa	ee	dd	bb	dd	bb	bb	ee	cc	aa	cc	bb	dd	aa	bb	dd	cc	aa	bb	cc	ee	aa	ee	dd	aa	cc	cc	ee	aa	ee	ee	bb	bb	bb	cc	cc
x7	aa	bb	cc	aa	dd	cc	aa	ee	aa	cc	bb	bb	aa	bb	cc	bb	bb	dd	aa	bb	ee	aa	bb	cc	ee	dd	cc	cc	bb	cc	cc	aa	ee	cc	bb	cc	cc	ee	dd	ee	aa	ee	aa	aa	aa	dd	bb	cc	dd	bb	aa	cc	bb	aa	ee	cc	aa	aa	dd	ee
x8	cc	bb	cc	cc	dd	dd	cc	dd	aa	dd	cc	dd	aa	dd	bb	aa	aa	bb	bb	dd	dd	aa	aa	cc	ee	cc	ee	ee	aa	aa	bb	dd	dd	bb	dd	cc	ee	dd	aa	dd	dd	cc	ee	ee	aa	aa	aa	cc	bb	ee	aa	ee	dd	aa	bb	aa	aa	aa	aa	cc
x9	dd	ee	aa	cc	cc	bb	cc	cc	bb	ee	bb	ee	dd	bb	dd	cc	ee	cc	cc	ee	aa	ee	bb	aa	dd	dd	dd	bb	cc	dd	aa	aa	cc	dd	dd	aa	ee	ee	bb	ee	cc	cc	aa	aa	aa	dd	cc	aa	dd	bb	bb	ee	bb	dd	ee	ee	bb	aa	dd	ee
