rows,columns,msr,row_coverage,column_coverage
105,95,204200.00945457377,"[ 127  130  131  132  133  134  135  294  517  518  520  522  523  524
  525  526  527  528  529  531  537  539  541  542  543  544  829 1082
 1083 1084 1087 1088 1089 1090 1094 1096 1713 1714 1715 1822 1824 1872
 2057 2059 2060 2061 2062 2469 2470 2471 2472 2473 2474 2475 2476 2478
 2480 2481 2482 2483 2484 2744 2745 2747 2975 2976 2977 2979 2980 2981
 3322 3323 3324 3326 3592 3594 3595 3596 3598 3599 3601 3603 3604 3606
 3607 3608 3609 3610 3611 3612 3613 3614 3615 3616 3617 3716 3720 3721
 3722 3724 3725 3726 3845 3846 3847]","[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 24
 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48
 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72
 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95]"
106,95,205174.9548379812,"[ 127  130  131  132  133  134  135  294  517  518  520  522  523  524
  525  526  527  528  529  531  537  539  541  542  543  544  829 1082
 1083 1084 1087 1088 1089 1090 1094 1096 1713 1714 1715 1822 1823 1824
 1872 2057 2058 2059 2060 2061 2062 2469 2470 2471 2472 2473 2474 2475
 2476 2480 2481 2482 2483 2484 2744 2745 2747 2975 2976 2977 2979 2980
 2981 3322 3323 3324 3326 3592 3594 3595 3596 3598 3599 3601 3603 3604
 3606 3607 3608 3609 3610 3611 3612 3613 3614 3615 3616 3617 3716 3720
 3721 3722 3724 3725 3726 3845 3846 3847]","[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 24
 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48
 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72
 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95]"
107,95,205619.18542026076,"[ 127  130  131  132  133  134  135  294  517  518  520  522  523  524
  525  526  527  528  529  531  537  539  540  541  543  544  829 1082
 1083 1084 1087 1088 1089 1090 1094 1096 1713 1714 1715 1822 1823 1824
 1872 2057 2058 2059 2060 2061 2062 2469 2470 2471 2472 2473 2474 2475
 2476 2478 2480 2481 2482 2483 2484 2744 2745 2747 2975 2976 2977 2979
 2980 2981 3322 3323 3324 3326 3592 3594 3595 3596 3598 3599 3601 3603
 3604 3606 3607 3608 3609 3610 3611 3612 3613 3614 3615 3616 3617 3716
 3720 3721 3722 3724 3725 3726 3845 3846 3847]","[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 24
 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48
 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72
 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95]"
104,95,206686.12936949875,"[ 127  130  131  132  133  134  135  294  517  518  520  522  523  524
  525  526  527  528  529  531  537  539  540  541  543  544  829 1082
 1083 1084 1087 1088 1089 1090 1094 1096 1713 1714 1715 1822 1823 1824
 1872 2057 2058 2059 2060 2061 2062 2469 2470 2471 2472 2473 2474 2475
 2476 2478 2480 2481 2482 2483 2484 2744 2745 2747 2975 2977 2979 2980
 2981 3322 3323 3324 3326 3592 3594 3596 3598 3599 3601 3603 3604 3606
 3607 3608 3609 3610 3611 3613 3614 3615 3616 3617 3716 3720 3721 3722
 3724 3725 3726 3845 3846 3847]","[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71
 72 73 74 75 76 77 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95]"
105,95,207476.218175916,"[ 127  130  131  132  133  134  135  294  517  518  520  522  523  524
  525  526  527  528  529  531  537  539  540  541  544  829 1082 1083
 1084 1087 1088 1089 1090 1094 1096 1713 1714 1715 1822 1823 1824 1872
 2057 2058 2059 2060 2061 2062 2469 2470 2471 2472 2473 2474 2475 2476
 2477 2478 2480 2481 2482 2483 2484 2744 2745 2975 2976 2977 2979 2980
 2981 3322 3323 3324 3326 3592 3594 3596 3598 3599 3600 3603 3604 3606
 3607 3608 3609 3610 3611 3612 3613 3614 3615 3616 3617 3716 3720 3721
 3722 3724 3725 3726 3845 3846 3847]","[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 67 68 69 70 71 72
 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95]"
105,95,207852.8670897696,"[ 127  130  131  132  133  134  135  294  517  518  520  522  523  524
  525  526  527  528  529  531  535  537  539  540  541  544  829 1082
 1083 1084 1087 1088 1089 1090 1094 1096 1713 1714 1715 1822 1823 1824
 1872 2057 2058 2059 2060 2061 2062 2469 2470 2471 2472 2473 2474 2475
 2476 2477 2478 2480 2481 2482 2483 2484 2744 2745 2747 2975 2976 2977
 2980 2981 3322 3324 3326 3592 3594 3596 3598 3599 3600 3603 3604 3606
 3607 3608 3609 3610 3611 3612 3613 3614 3615 3616 3617 3716 3720 3721
 3722 3724 3725 3726 3845 3846 3847]","[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 61 62 63 64 65 66 67 68 69 70 71 72
 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95]"
106,95,207647.11555023477,"[ 127  130  131  132  133  134  135  294  517  518  520  522  523  524
  525  526  527  528  529  531  535  537  539  540  541  544  829 1082
 1083 1084 1087 1088 1089 1090 1096 1713 1714 1715 1822 1823 1824 1872
 2057 2058 2059 2060 2061 2062 2469 2470 2471 2472 2473 2474 2475 2476
 2477 2478 2480 2481 2482 2483 2484 2744 2745 2747 2975 2976 2977 2979
 2980 2981 3322 3323 3324 3326 3592 3594 3595 3596 3598 3599 3600 3603
 3604 3606 3607 3608 3609 3610 3611 3612 3613 3614 3615 3616 3617 3716
 3720 3721 3722 3724 3725 3726 3845 3847]","[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 61 62 63 64 65 66 67 68 69 70 71 72
 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95]"
105,95,207354.7144527384,"[ 127  130  131  132  133  134  135  294  517  518  520  522  523  524
  525  526  527  528  529  531  535  537  539  540  541  542  544  829
 1083 1084 1087 1088 1089 1090 1096 1713 1714 1715 1822 1823 1824 1872
 2057 2058 2059 2060 2061 2062 2469 2470 2471 2472 2473 2474 2475 2476
 2477 2478 2480 2481 2482 2483 2484 2744 2745 2747 2975 2976 2977 2979
 2980 2981 3322 3323 3324 3326 3592 3594 3595 3598 3599 3600 3603 3604
 3606 3607 3608 3609 3610 3611 3612 3613 3614 3615 3616 3617 3716 3720
 3721 3722 3724 3725 3726 3845 3847]","[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 61 62 63 64 65 66 67 68 69 70 71 72
 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95]"
100,95,207809.31883020495,"[ 127  130  131  132  133  134  135  294  517  518  520  522  523  524
  525  526  527  528  529  531  535  537  539  540  541  542  544  829
 1083 1084 1087 1088 1089 1090 1096 1713 1714 1715 1822 1823 1824 1872
 2057 2058 2059 2060 2061 2062 2469 2470 2471 2472 2473 2474 2475 2476
 2477 2478 2480 2481 2482 2483 2484 2744 2745 2747 2975 2976 2977 2979
 2981 3323 3324 3326 3592 3594 3598 3599 3600 3603 3604 3606 3607 3608
 3609 3610 3611 3612 3613 3616 3617 3716 3720 3721 3722 3724 3725 3726
 3845 3847]","[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 61 62 63 64 65 66 67 68 69 70 71 72
 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95]"
103,95,207841.34863380776,"[ 127  130  131  132  133  134  135  294  517  518  520  522  523  524
  525  526  527  528  529  531  535  537  539  540  541  542  544  829
 1083 1084 1087 1088 1089 1090 1096 1713 1714 1715 1822 1823 1824 1872
 2057 2058 2059 2060 2061 2062 2469 2470 2471 2472 2473 2474 2475 2476
 2477 2478 2480 2481 2482 2483 2484 2744 2745 2747 2975 2976 2977 2979
 2980 2981 3322 3323 3324 3326 3592 3594 3598 3599 3600 3603 3604 3606
 3607 3608 3609 3610 3611 3612 3613 3614 3615 3616 3617 3716 3720 3721
 3722 3724 3725 3845 3847]","[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 60 61 62 63 64 65 66 67 68 69 70 71 72
 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95]"
