rows,columns,msr,row_coverage,column_coverage
212,16,568.6232416809485,"[  -49   -62   -83  -117  -164  -198  -206  -219  -239  -244  -252  -253
  -257  -266  -271  -307  -322  -324  -426  -457  -467  -468  -470  -474
  -510  -521  -572  -622  -634  -636  -734  -754  -807  -911  -929  -955
 -1067 -1074 -1084 -1090 -1118 -1136 -1218 -1241 -1365 -1389 -1412 -1419
 -1430 -1434 -1445 -1461 -1464 -1506 -1509 -1549 -1552 -1563 -1567 -1598
 -1613 -1632 -1658 -1680 -1698 -1719 -1725 -1730 -1736 -1740 -1759 -1786
 -1800 -1804 -1810 -1815 -1830 -1842 -1845 -1853 -1857 -1862 -1875 -1881
 -1890 -1891 -1919 -1996 -2038 -2048 -2107 -2124 -2129 -2158 -2168 -2200
 -2221 -2256 -2332 -2336 -2431 -2438 -2464 -2502 -2510 -2691 -2756 -2769
 -2790 -2824 -2871 -2905 -2913 -2926 -2946 -2951 -2959 -2960 -2964 -2973
 -2978 -3014 -3029 -3031 -3133 -3164 -3174 -3175 -3177 -3181 -3217 -3228
 -3279 -3329 -3341 -3343 -3441 -3461 -3514 -3618 -3636 -3662 -3774 -3781
 -3791 -3797 -3825 -3843 -3925 -3948 -4072 -4096 -4119 -4126 -4137 -4141
 -4152 -4168 -4171 -4213 -4216 -4256 -4259 -4270 -4274 -4305 -4320 -4339
 -4365 -4387 -4405 -4426 -4432 -4437 -4443 -4447 -4466 -4493 -4507 -4511
 -4517 -4522 -4537 -4549 -4552 -4560 -4564 -4569 -4582 -4588 -4597 -4598
 -4626 -4703 -4745 -4755 -4814 -4831 -4836 -4865 -4875 -4907 -4928 -4963
 -5039 -5043 -5138 -5145 -5171 -5209 -5217 -5398]",[ 0  1  2  3  4  5  6  7  8 10 11 12 13 14 15 16]
127,16,626.2160000366674,"[  -47  -156  -196  -208  -227  -290  -303  -305  -436  -446  -447  -487
  -554  -618  -620  -739  -765  -896  -914  -939 -1065 -1071 -1098 -1392
 -1399 -1410 -1424 -1438 -1484 -1523 -1537 -1541 -1628 -1685 -1691 -1702
 -1706 -1707 -1751 -1764 -1768 -1774 -1779 -1795 -1809 -1812 -1821 -1825
 -1830 -1858 -1859 -1962 -2002 -2010 -2084 -2088 -2115 -2177 -2283 -2287
 -2380 -2414 -2457 -2699 -2810 -2850 -2862 -2881 -2944 -2957 -2959 -3092
 -3102 -3103 -3143 -3210 -3274 -3276 -3395 -3548 -3566 -3593 -3660 -3715
 -3724 -3730 -3757 -4049 -4056 -4067 -4081 -4095 -4140 -4179 -4193 -4197
 -4283 -4341 -4347 -4358 -4404 -4417 -4421 -4427 -4432 -4447 -4463 -4466
 -4476 -4480 -4485 -4513 -4514 -4616 -4656 -4664 -4723 -4740 -4744 -4771
 -4832 -4867 -4939 -4943 -5034 -5069 -5113]",[ 0  1  2  3  4  5  6  7  8 10 11 12 13 14 15 16]
116,16,776.2906580692916,"[  -46  -293  -295  -436  -437  -476  -542  -585  -611  -735  -763  -896
  -914  -941 -1008 -1059 -1073 -1079 -1106 -1402 -1409 -1434 -1449 -1497
 -1537 -1551 -1698 -1704 -1715 -1719 -1720 -1764 -1778 -1781 -1787 -1809
 -1823 -1826 -1836 -1840 -1845 -1873 -1874 -1900 -1911 -1980 -2022 -2033
 -2111 -2116 -2144 -2206 -2240 -2314 -2318 -2414 -2449 -2493 -2737 -2990
 -2992 -3135 -3136 -3175 -3241 -3306 -3432 -3460 -3591 -3609 -3637 -3705
 -3756 -3763 -3773 -3779 -3809 -4101 -4107 -4132 -4146 -4192 -4231 -4245
 -4391 -4397 -4408 -4454 -4468 -4471 -4477 -4499 -4506 -4515 -4518 -4528
 -4532 -4537 -4564 -4565 -4588 -4599 -4668 -4710 -4718 -4779 -4796 -4801
 -4829 -4891 -4929 -5003 -5007 -5101 -5135 -5181]",[ 0  1  2  3  4  5  6  7  8 10 11 12 13 14 15 16]
144,16,1771.1492434678712,"[  -49  -299  -444  -484  -563  -599  -656  -754  -782  -810  -877  -921
  -939  -968 -1036 -1087 -1094 -1104 -1110 -1140 -1439 -1446 -1472 -1488
 -1491 -1537 -1577 -1580 -1591 -1595 -1744 -1751 -1762 -1766 -1767 -1814
 -1828 -1832 -1838 -1860 -1867 -1876 -1879 -1889 -1893 -1898 -1925 -1927
 -1954 -1965 -2036 -2080 -2091 -2099 -2154 -2171 -2172 -2176 -2199 -2204
 -2271 -2310 -2389 -2393 -2493 -2528 -2565 -2574 -2707 -2830 -3093 -3240
 -3243 -3247 -3282 -3360 -3394 -3422 -3452 -3479 -3553 -3581 -3609 -3721
 -3739 -3768 -3836 -3887 -3894 -3904 -3910 -3940 -4237 -4244 -4270 -4285
 -4288 -4332 -4372 -4375 -4386 -4390 -4495 -4539 -4546 -4557 -4560 -4561
 -4579 -4585 -4611 -4625 -4628 -4634 -4657 -4664 -4673 -4676 -4686 -4690
 -4695 -4722 -4749 -4760 -4829 -4872 -4881 -4889 -4943 -4960 -4961 -4965
 -4968 -4989 -4994 -5063 -5103 -5181 -5185 -5284 -5319 -5357 -5366 -5497]",[ 0  1  2  3  4  5  6  7  8 10 11 12 13 14 15 16]
172,16,1836.4380446747423,"[  -47  -293  -441  -481  -596  -653  -752  -780  -781  -784  -808  -876
  -908  -922  -940  -969  -972 -1037 -1088 -1095 -1105 -1111 -1141 -1441
 -1474 -1490 -1493 -1539 -1579 -1582 -1593 -1597 -1748 -1755 -1760 -1766
 -1770 -1771 -1791 -1797 -1799 -1824 -1838 -1842 -1846 -1848 -1871 -1878
 -1887 -1890 -1900 -1904 -1909 -1928 -1936 -1938 -1940 -1968 -1979 -2051
 -2095 -2103 -2107 -2115 -2170 -2187 -2188 -2192 -2215 -2220 -2235 -2269
 -2272 -2291 -2331 -2410 -2414 -2515 -2550 -2587 -2596 -2690 -2723 -2729
 -2786 -2850 -3113 -3261 -3268 -3303 -3374 -3420 -3448 -3478 -3505 -3579
 -3607 -3608 -3611 -3635 -3733 -3747 -3765 -3794 -3797 -3862 -3913 -3920
 -3930 -3936 -3966 -4265 -4298 -4313 -4316 -4359 -4399 -4402 -4413 -4417
 -4525 -4569 -4576 -4581 -4587 -4591 -4592 -4611 -4617 -4619 -4643 -4658
 -4662 -4666 -4668 -4691 -4698 -4707 -4710 -4720 -4724 -4729 -4748 -4757
 -4759 -4783 -4794 -4866 -4909 -4919 -4927 -4981 -4998 -4999 -5003 -5006
 -5027 -5032 -5047 -5083 -5102 -5142 -5220 -5224 -5324 -5359 -5397 -5406
 -5499 -5532 -5538 -5591]",[ 0  1  2  3  4  5  6  7  8 10 11 12 13 14 15 16]
73,17,1224.8331997331782,"[  -48  -194  -456  -496  -566  -772  -943  -990 -1109 -1116 -1126 -1162
 -1618 -1772 -1795 -1815 -1848 -1867 -1873 -1896 -1915 -1929 -1963 -1964
 -2121 -2129 -2133 -2196 -2213 -2214 -2218 -2298 -2317 -2357 -2440 -2544
 -2579 -2626 -2883 -3307 -3349 -3420 -3626 -3797 -3844 -3963 -3970 -3980
 -4016 -4470 -4624 -4647 -4667 -4699 -4718 -4724 -4747 -4766 -4780 -4813
 -4965 -4975 -5037 -5054 -5055 -5059 -5140 -5159 -5199 -5281 -5382 -5417
 -5464]",[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
62,16,2263.672638650953,"[  -49  -198  -504  -575  -781  -982  -999 -1118 -1171 -1627 -1809 -1829
 -1862 -1910 -1929 -1943 -1977 -1980 -2135 -2143 -2147 -2210 -2227 -2228
 -2232 -2293 -2313 -2332 -2372 -2455 -2559 -2641 -2898 -3373 -3444 -3650
 -3851 -3868 -3987 -4040 -4493 -4674 -4694 -4728 -4776 -4795 -4809 -4842
 -4844 -4994 -5004 -5066 -5083 -5084 -5088 -5149 -5169 -5188 -5228 -5310
 -5411 -5493]",[ 0  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
58,16,2008.5413971076655,"[  -49  -194  -500  -571  -777  -978  -995 -1114 -1121 -1167 -1623 -1807
 -1827 -1861 -1928 -1966 -1976 -1979 -2018 -2142 -2146 -2209 -2226 -2227
 -2231 -2312 -2331 -2371 -2454 -2640 -2897 -3374 -3445 -3651 -3852 -3869
 -3988 -3995 -4041 -4494 -4677 -4697 -4731 -4798 -4836 -4845 -4847 -4881
 -5006 -5068 -5085 -5086 -5090 -5171 -5190 -5230 -5312 -5495]",[ 0  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
60,16,2238.368910465868,"[  -49  -195  -502  -573  -779  -980  -997 -1116 -1169 -1625 -1810 -1864
 -1889 -1912 -1931 -1969 -1979 -1982 -2021 -2137 -2145 -2149 -2212 -2229
 -2230 -2234 -2315 -2334 -2374 -2457 -2643 -2900 -3377 -3448 -3654 -3855
 -3872 -3991 -4044 -4498 -4681 -4735 -4760 -4783 -4802 -4840 -4849 -4851
 -4886 -5001 -5011 -5073 -5090 -5091 -5095 -5176 -5195 -5235 -5317 -5500]",[ 0  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
60,16,3231.792794074001,"[  -48  -192  -500  -571  -777  -978  -995 -1114 -1121 -1167 -1623 -1808
 -1828 -1862 -1929 -1967 -1977 -1980 -2019 -2143 -2147 -2210 -2227 -2228
 -2232 -2293 -2313 -2332 -2372 -2455 -2641 -2898 -3375 -3446 -3652 -3853
 -3870 -3989 -3996 -4042 -4496 -4679 -4699 -4733 -4800 -4838 -4847 -4849
 -4883 -5008 -5070 -5087 -5088 -5092 -5153 -5173 -5192 -5232 -5314 -5497]",[ 0  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
