rows,columns,msr,rows,columns
394,5,218.4262645262697,"[   4    5    6    7   18   21   40   41   42   43   44  105  107  120
  147  148  149  150  151  156  157  169  170  171  172  173  174  204
  205  220  229  230  255  256  264  265  266  284  285  293  294  295
  310  312  313  314  319  320  369  370  394  421  426  427  428  476
  477  514  515  516  544  559  598  599  604  605  606  607  608  609
  610  617  626  627  628  629  648  649  650  651  652  653  655  656
  657  658  659  660  661  670  671  672  673  674  675  676  677  678
  691  692  693  694  699  700  710  711  712  724  725  726  727  728
  729  730  731  732  733  734  738  739  748  752  753  754  755  756
  757  758  759  760  761  790  791  792  793  800  801  802  809  810
  811  812  813  814  815  816  818  819  821  834  835  840  841  851
  893  894  915  963  967  978  996 1092 1093 1094 1095 1119 1126 1127
 1134 1135 1136 1168 1171 1187 1188 1197 1198 1199 1200 1299 1323 1366
 1425 1433 1444 1451 1452 1453 1523 1524 1525 1537 1538 1539 1540 1542
 1545 1546 1550 1551 1574 1635 1689 1702 1706 1707 1708 1709 1745 1746
 1747 1748 1776 1812 1826 1827 1828 1829 1858 1859 1868 1869 1870 1878
 1879 1895 1919 1921 1922 1938 1939 1940 1941 1942 1955 1956 1957 1964
 1977 1978 1990 1995 1996 2009 2010 2011 2012 2013 2014 2022 2023 2029
 2030 2031 2032 2052 2081 2111 2114 2115 2118 2119 2133 2134 2135 2136
 2137 2138 2139 2142 2143 2168 2169 2170 2181 2187 2188 2198 2199 2210
 2222 2248 2252 2270 2271 2272 2279 2280 2281 2297 2304 2327 2328 2334
 2335 2367 2384 2386 2396 2397 2399 2400 2401 2402 2403 2404 2431 2432
 2433 2434 2437 2438 2449 2452 2457 2458 2460 2483 2484 2485 2511 2512
 2544 2545 2563 2564 2565 2567 2568 2569 2570 2571 2572 2604 2610 2613
 2614 2615 2616 2617 2618 2619 2621 2639 2640 2641 2642 2643 2661 2664
 2665 2666 2667 2668 2671 2672 2673 2674 2676 2677 2678 2691 2692 2693
 2694 2698 2699 2700 2701 2718 2728 2743 2744 2745 2746 2747 2756 2757
 2758 2759 2760 2808 2809 2812 2829 2830 2846 2849 2867 2879 2880 2881
 2882 2883]",[ 8 12 13 14 16]
542,4,208.9761600723712,"[  21   23   24   26   36   38   44   66   85   86   87   88   89   90
   91  107  108  113  116  118  120  130  131  133  137  138  139  140
  143  144  145  157  158  159  160  161  162  163  164  166  167  174
  175  176  177  178  184  205  206  207  208  211  221  222  223  227
  230  231  232  239  251  252  253  256  261  262  266  268  279  281
  296  297  302  308  310  314  315  316  317  320  321  322  356  357
  372  378  384  385  386  389  392  402  403  404  418  419  421  422
  423  424  429  434  435  469  473  480  481  485  486  488  489  490
  496  497  506  511  512  514  516  522  537  542  544  545  557  559
  560  561  562  566  567  568  569  570  571  573  574  600  601  602
  611  612  613  614  615  617  618  621  624  629  630  634  643  644
  645  646  653  661  662  663  677  696  697  719  721  734  739  740
  744  745  749  750  761  762  787  788  793  794  795  802  803  804
  805  822  823  824  835  836  838  841  842  852  853  868  877  878
  889  890  891  894  896  897  898  909  916  917  918  936  937  938
  939  947  956  957  959  976  978  982  988  989  990  991  997 1003
 1009 1011 1016 1017 1024 1081 1083 1084 1095 1102 1104 1116 1119 1127
 1132 1136 1137 1159 1184 1185 1188 1206 1207 1219 1221 1233 1323 1324
 1359 1360 1364 1366 1381 1382 1383 1384 1385 1406 1412 1423 1425 1449
 1453 1455 1457 1458 1477 1478 1484 1485 1487 1489 1508 1509 1510 1520
 1525 1533 1534 1546 1548 1551 1564 1565 1572 1576 1636 1641 1656 1662
 1663 1664 1665 1684 1685 1686 1687 1689 1702 1703 1704 1722 1748 1749
 1750 1751 1752 1753 1754 1755 1759 1770 1771 1772 1776 1777 1778 1813
 1814 1824 1829 1830 1842 1843 1848 1849 1859 1866 1870 1871 1872 1879
 1880 1881 1885 1886 1887 1895 1896 1897 1919 1922 1923 1924 1926 1936
 1942 1943 1957 1959 1960 1961 1964 1970 1971 1972 1973 1974 1985 1986
 1991 1992 1993 1996 1998 2005 2014 2015 2016 2017 2020 2032 2033 2034
 2049 2050 2061 2070 2087 2108 2111 2112 2116 2119 2120 2121 2122 2123
 2139 2143 2147 2148 2153 2154 2165 2170 2171 2172 2177 2178 2179 2181
 2182 2183 2185 2188 2189 2199 2200 2201 2210 2211 2212 2213 2222 2240
 2241 2246 2273 2274 2275 2281 2283 2298 2299 2300 2301 2305 2314 2320
 2325 2329 2331 2332 2335 2336 2363 2364 2368 2376 2386 2387 2388 2393
 2397 2404 2405 2420 2427 2428 2429 2434 2435 2440 2441 2442 2445 2452
 2460 2461 2462 2476 2478 2481 2486 2489 2493 2494 2498 2503 2509 2512
 2519 2520 2527 2545 2546 2554 2555 2561 2564 2565 2572 2576 2577 2578
 2580 2586 2587 2588 2589 2598 2600 2601 2604 2610 2611 2619 2627 2628
 2629 2630 2634 2635 2636 2652 2659 2661 2662 2668 2669 2678 2689 2696
 2741 2747 2752 2754 2766 2783 2806 2812 2813 2814 2816 2825 2826 2827
 2830 2838 2839 2865 2867 2869 2874 2876 2877 2883]",[4 5 6 7]
296,2,201.37311407404889,"[   0    1    7   21   33   60   79   84   85   90   91   92   93   94
   95  125  127  128  156  159  164  178  179  211  223  224  239  240
  241  243  249  253  256  257  258  259  268  281  336  337  344  345
  365  376  378  389  403  404  405  429  430  431  432  435  448  467
  480  481  482  485  494  497  539  550  551  557  562  563  588  595
  599  602  611  612  615  619  622  629  630  632  666  668  688  706
  712  713  714  721  734  735  736  740  741  742  761  762  763  769
  797  802  805  806  825  830  831  832  837  854  862  863  864  881
  885  886  887  891  894  898  909  910  911  912  934  938  947  948
  949  952  953  954  967  988  997  998  999 1000 1003 1004 1005 1006
 1012 1013 1017 1018 1028 1039 1040 1041 1042 1086 1087 1088 1089 1095
 1096 1097 1099 1116 1127 1128 1129 1130 1132 1148 1149 1154 1155 1204
 1206 1208 1209 1210 1211 1217 1219 1221 1230 1231 1233 1234 1235 1236
 1255 1256 1273 1274 1275 1287 1288 1296 1306 1307 1308 1320 1321 1324
 1325 1360 1391 1430 1453 1580 1600 1601 1602 1656 1657 1658 1659 1660
 1664 1665 1717 1718 1720 1774 1862 1866 1874 1892 1893 1932 1933 1939
 1943 1948 1949 1964 1965 2007 2017 2047 2048 2060 2061 2076 2077 2078
 2081 2082 2083 2084 2088 2097 2104 2105 2106 2108 2109 2139 2143 2144
 2148 2149 2150 2151 2170 2172 2173 2174 2185 2194 2197 2201 2208 2237
 2252 2335 2356 2357 2358 2368 2369 2372 2379 2380 2384 2397 2440 2452
 2454 2486 2487 2507 2512 2527 2528 2542 2578 2579 2580 2625 2629 2653
 2739 2883]",[10 11]
1210,5,261.45052742299026,[   1    3    8 ... 2871 2874 2877],[ 8 12 13 14 16]
470,7,208.74690736412265,"[   5   11   15   16   17   19   30   40   41   43   45   46   51   53
   57   62   67   72   80   82   96   97   98  101  104  109  110  111
  114  122  124  134  141  150  151  152  153  181  192  199  209  210
  213  215  218  225  235  237  247  254  269  270  271  284  287  289
  294  299  303  305  331  332  340  342  346  347  360  366  369  370
  375  379  381  382  390  394  395  397  399  401  406  415  420  444
  447  449  450  451  455  456  465  466  471  474  477  483  491  493
  504  517  520  527  529  535  538  540  548  564  580  581  585  591
  594  604  605  606  623  636  637  639  650  654  667  678  679  681
  683  684  692  700  708  716  724  726  727  746  751  758  765  770
  774  776  777  778  781  800  807  811  813  819  827  839  844  845
  848  849  873  901  919  930  935  940  944  955  960  963  964  969
  974  994 1001 1007 1019 1025 1026 1029 1031 1033 1036 1044 1048 1050
 1063 1074 1085 1105 1109 1117 1121 1139 1141 1146 1156 1157 1160 1164
 1165 1166 1169 1173 1189 1190 1192 1194 1200 1202 1214 1216 1225 1238
 1240 1241 1242 1257 1270 1278 1279 1291 1300 1301 1304 1309 1311 1327
 1333 1349 1351 1370 1396 1407 1414 1415 1416 1427 1428 1456 1461 1462
 1470 1473 1498 1502 1511 1517 1521 1523 1527 1531 1535 1538 1539 1540
 1554 1574 1577 1598 1604 1607 1613 1622 1643 1651 1654 1672 1674 1679
 1681 1692 1700 1708 1709 1713 1723 1727 1730 1757 1762 1768 1781 1786
 1787 1790 1791 1796 1799 1802 1807 1820 1822 1827 1828 1832 1838 1839
 1845 1847 1853 1863 1873 1882 1888 1903 1907 1911 1912 1916 1920 1930
 1934 1945 1947 1952 1956 1977 1983 1987 1995 1997 2002 2012 2023 2024
 2035 2036 2052 2053 2068 2071 2072 2074 2089 2090 2094 2096 2099 2102
 2117 2124 2126 2127 2129 2136 2137 2145 2156 2157 2163 2168 2175 2195
 2203 2223 2224 2230 2234 2238 2248 2249 2267 2270 2276 2284 2288 2291
 2292 2306 2307 2312 2315 2324 2337 2338 2345 2360 2377 2378 2381 2389
 2390 2394 2400 2406 2421 2423 2424 2431 2432 2436 2443 2447 2455 2463
 2474 2477 2490 2491 2497 2504 2505 2513 2516 2517 2522 2523 2525 2532
 2539 2548 2549 2552 2558 2568 2574 2581 2584 2591 2592 2593 2595 2599
 2602 2607 2622 2623 2632 2639 2650 2654 2666 2674 2675 2679 2680 2681
 2694 2695 2701 2702 2710 2712 2716 2723 2729 2745 2746 2749 2762 2763
 2768 2769 2771 2775 2779 2787 2794 2798 2808 2809 2810 2822 2833 2841
 2847 2848 2852 2853 2856 2859 2871 2880]",[ 3  4  5  6  7 10 11]
239,6,275.96789369155925,"[   9   24   27   47   70  112  147  161  167  169  172  179  196  205
  207  222  251  266  267  273  279  285  291  292  295  297  315  328
  373  411  425  427  438  439  461  469  478  486  487  488  492  512
  546  549  552  559  574  617  626  642  648  655  657  660  674  693
  694  696  729  730  731  732  743  748  754  766  768  787  790  791
  795  814  840  841  843  846  855  864  865  868  869  875  876  884
  887  902  906  908  912  915  933  937  968  971  972  992 1013 1061
 1070 1078 1089 1114 1130 1149 1181 1182 1191 1207 1211 1222 1260 1261
 1262 1276 1284 1297 1298 1314 1319 1329 1337 1352 1353 1358 1381 1400
 1418 1420 1433 1438 1440 1445 1480 1481 1486 1498 1504 1506 1512 1516
 1552 1553 1554 1562 1563 1582 1584 1594 1599 1635 1636 1649 1655 1665
 1670 1689 1716 1749 1776 1784 1810 1843 1850 1860 1864 1869 1900 1928
 1938 1951 1952 1953 1958 1962 1980 1999 2004 2008 2014 2015 2026 2030
 2032 2058 2077 2079 2140 2161 2171 2183 2199 2242 2243 2255 2260 2271
 2309 2313 2316 2330 2350 2355 2364 2365 2370 2371 2407 2440 2449 2460
 2483 2488 2494 2529 2530 2532 2541 2570 2586 2605 2609 2620 2630 2640
 2642 2648 2655 2662 2669 2690 2698 2703 2713 2734 2758 2830 2859 2863
 2881]",[ 1  2  3  9 11 15]
257,4,190.6459863131917,"[   1   63   94  154  182  189  228  233  241  244  258  259  318  329
  354  362  363  413  431  446  452  463  472  499  502  509  515  554
  575  593  597  607  608  627  641  664  666  668  671  689  690  714
  733  737  741  763  799  806  808  828  834  856  881  882  888  893
  907  910  911  920  923  950  965  980  984  987 1004 1065 1066 1067
 1075 1076 1082 1106 1142 1150 1162 1175 1177 1196 1208 1223 1231 1234
 1245 1246 1268 1271 1274 1281 1283 1292 1306 1307 1316 1317 1345 1367
 1368 1371 1374 1389 1391 1393 1421 1443 1446 1451 1463 1465 1468 1471
 1475 1493 1494 1496 1500 1507 1541 1555 1560 1567 1570 1580 1600 1605
 1608 1609 1614 1617 1624 1625 1627 1628 1633 1638 1639 1659 1660 1668
 1675 1693 1695 1698 1710 1718 1724 1739 1741 1765 1792 1793 1794 1803
 1804 1812 1817 1840 1877 1893 1898 1901 1908 1933 1935 1939 1940 1949
 1954 1968 1975 2000 2010 2027 2042 2043 2047 2054 2055 2062 2065 2066
 2069 2075 2081 2131 2158 2173 2176 2202 2204 2216 2219 2232 2250 2261
 2262 2265 2277 2285 2302 2317 2318 2319 2333 2339 2346 2347 2358 2374
 2380 2384 2385 2392 2398 2401 2402 2408 2409 2414 2416 2433 2438 2439
 2450 2465 2501 2510 2536 2543 2559 2571 2596 2616 2657 2670 2684 2685
 2691 2699 2706 2728 2735 2742 2759 2773 2784 2788 2791 2796 2800 2818
 2819 2820 2823 2836 2850]",[3 4 5 6]
380,2,81.92561461218837,"[  12   25   31   48   54   63   64   68   86   87   88  108  118  119
  120  123  126  131  143  145  165  175  182  184  188  189  193  233
  244  245  259  262  263  274  276  312  314  321  324  329  334  335
  339  347  348  349  354  357  358  361  387  391  407  409  421  423
  452  477  484  498  499  502  503  504  507  515  523  524  525  532
  547  555  560  561  565  567  571  589  600  613  620  627  634  635
  643  644  663  670  672  677  689  690  707  715  755  773  782  784
  800  803  815  816  817  819  820  834  836  852  858  859  866  867
  871  883  889  892  893  917  918  923  925  927  941  942  945  956
  957  966  973  978  982  985  986  989 1009 1010 1011 1014 1020 1027
 1032 1034 1053 1054 1068 1081 1082 1084 1102 1106 1111 1119 1124 1135
 1140 1151 1152 1153 1159 1174 1175 1177 1183 1188 1197 1212 1223 1247
 1249 1253 1254 1265 1268 1271 1272 1281 1283 1293 1294 1316 1317 1322
 1331 1336 1340 1343 1361 1363 1374 1377 1382 1383 1384 1385 1387 1393
 1394 1403 1404 1409 1423 1432 1435 1455 1469 1471 1484 1487 1491 1508
 1525 1536 1542 1557 1565 1567 1608 1616 1617 1619 1633 1639 1646 1668
 1675 1676 1677 1685 1687 1695 1696 1698 1704 1710 1719 1724 1728 1731
 1732 1742 1743 1744 1750 1752 1754 1755 1763 1771 1772 1777 1800 1805
 1814 1830 1834 1835 1840 1857 1867 1875 1879 1883 1888 1895 1899 1901
 1904 1921 1924 1931 1957 1967 1968 1972 1986 1992 2000 2018 2040 2049
 2056 2063 2085 2091 2092 2100 2112 2119 2121 2130 2131 2132 2143 2158
 2165 2176 2179 2186 2189 2192 2207 2210 2211 2213 2226 2253 2282 2285
 2289 2325 2334 2343 2347 2374 2385 2387 2392 2402 2404 2411 2412 2414
 2429 2434 2450 2462 2465 2466 2468 2485 2495 2498 2514 2519 2520 2534
 2545 2546 2550 2555 2556 2560 2561 2562 2564 2565 2566 2577 2589 2596
 2604 2611 2627 2637 2646 2656 2664 2668 2682 2696 2714 2720 2724 2726
 2738 2750 2766 2767 2774 2785 2791 2805 2815 2831 2839 2850 2857 2865
 2869 2877]",[10 11]
73,5,247.99687746293864,"[  86   87  103  349  433  474  547  599  602  609  632  634  663  669
  707  717  728  734  755  820  834  883  886  894  953 1006 1007 1009
 1041 1042 1102 1119 1135 1250 1308 1331 1354 1403 1415 1469 1490 1511
 1572 1578 1666 1685 1691 1750 1754 1825 1876 1888 1931 1972 1997 2017
 2039 2096 2109 2130 2150 2151 2192 2225 2250 2334 2335 2508 2589 2604
 2676 2738 2815]",[ 0  1  2  3 15]
167,3,268.42603814327435,"[  12   31   42   43   54   63   85   92   98  119  124  155  215  224
  259  274  287  306  324  335  344  358  374  409  445  452  484  493
  495  499  504  515  523  525  590  591  670  701  752  767  849  852
  857  867  899  911  925  941  942  948  958  969  973 1000 1001 1011
 1014 1020 1053 1054 1055 1056 1153 1154 1185 1186 1227 1231 1235 1253
 1258 1268 1283 1294 1304 1307 1317 1321 1371 1375 1376 1382 1402 1410
 1423 1432 1442 1456 1543 1595 1602 1616 1624 1637 1644 1652 1657 1660
 1668 1674 1676 1679 1696 1714 1718 1719 1720 1721 1730 1737 1742 1744
 1771 1777 1800 1840 1857 1875 1922 1987 1992 2048 2056 2082 2085 2090
 2091 2100 2137 2174 2190 2197 2207 2213 2214 2270 2289 2302 2339 2343
 2384 2404 2411 2468 2471 2477 2514 2534 2549 2562 2566 2581 2617 2637
 2682 2712 2714 2717 2720 2724 2775 2782 2789 2791 2831 2837 2877]",[ 1  9 15]
